Date,Dollar,Spread,,,,
2013-08-06,81.6,-0.80,,,,
2013-08-07,81.29,-1.06,,,,
2013-08-08,80.98,-1.33,,,,
2013-08-09,81.13,-1.14,,,,
2013-08-12,81.33,-0.91,,,,
2013-08-13,81.77,-0.45,,,,
2013-08-14,81.71,-0.49,,,,
2013-08-15,81.18,-1.02,,,,
2013-08-16,81.26,-0.93,,,,
2013-08-19,81.23,-0.95,,,,
2013-08-20,80.91,-1.27,,,,
2013-08-21,81.21,-0.97,,,,
2013-08-22,81.49,-0.71,,,,
2013-08-23,81.36,-0.85,,,,
2013-08-26,81.41,-0.81,,,,
2013-08-27,81.17,-1.06,,,,
2013-08-28,81.43,-0.80,,,,
2013-08-29,81.95,-0.28,,,,
2013-08-30,82.09,-0.14,,,,
2013-09-02,82.09,-0.13,,,,
2013-09-03,82.36,0.14,,,,
2013-09-04,82.17,-0.03,,,,
2013-09-05,82.63,0.43,,,,
2013-09-06,82.15,-0.03,,,,
2013-09-09,81.79,-0.36,,,,
2013-09-10,81.82,-0.30,,,,
2013-09-11,81.52,-0.56,,,,
2013-09-12,81.49,-0.56,,,,
2013-09-13,81.45,-0.54,,,,
2013-09-16,81.3,-0.63,,,,
2013-09-17,81.14,-0.72,,,,
2013-09-18,80.24,-1.54,,,,
2013-09-19,80.37,-1.37,,,,
2013-09-20,80.43,-1.26,,,,
2013-09-23,80.45,-1.18,,,,
2013-09-24,80.56,-1.04,,,,
2013-09-25,80.33,-1.22,,,,
2013-09-26,80.52,-0.98,,,,
2013-09-27,80.29,-1.16,,,,
2013-09-30,80.22,-1.19,,,,
2013-10-01,80.14,-1.24,,,,
2013-10-02,79.9,-1.43,,,,
2013-10-03,79.75,-1.54,,,,
2013-10-04,80.13,-1.13,,,,
2013-10-07,79.94,-1.28,,,,
2013-10-08,80.06,-1.13,,,,
2013-10-09,80.38,-0.78,,,,
2013-10-10,80.42,-0.71,,,,
2013-10-11,80.41,-0.69,,,,
2013-10-14,80.26,-0.80,,,,
2013-10-15,80.48,-0.56,,,,
2013-10-16,80.47,-0.56,,,,
2013-10-17,79.65,-1.35,,,,
2013-10-18,79.65,-1.32,,,,
2013-10-21,79.69,-1.25,,,,
2013-10-22,79.23,-1.66,,,,
2013-10-23,79.26,-1.58,,,,
2013-10-24,79.19,-1.61,,,,
2013-10-25,79.19,-1.57,,,,
2013-10-28,79.25,-1.47,,,,
2013-10-29,79.61,-1.08,,,,
2013-10-30,79.78,-0.88,,,,
2013-10-31,80.19,-0.45,,,,
2013-11-01,80.72,0.10,,,,
2013-11-04,80.55,-0.06,,,,
2013-11-05,80.71,0.11,,,,
2013-11-06,80.48,-0.10,,,,
2013-11-07,80.84,0.29,,,,
2013-11-08,81.3,0.76,,,,
2013-11-11,81.09,0.57,,,,
2013-11-12,81.19,0.69,,,,
2013-11-13,80.93,0.46,,,,
