Date,NetBuy,NetSell,FxRate,ForeignTrade,Close(코스피 지수),50MA,Spread
2013-08-06,1008,1105,1115.5,-108203.5,1906.62,-89590.83,-18612.67
2013-08-07,965,1086,1118.7,-135362.7,1878.33,-91013.418,-44349.282
2013-08-08,1128,1291,1113,-181419,1883.97,-103410.444,-78008.556
2013-08-09,1052,1118,1112.2,-73405.2,1880.71,-113627.172,40221.972
2013-08-12,958,1012,1113.7,-60139.8,1884.83,-119280.986,59141.186
2013-08-13,1313,1143,1115.3,189601,1913.03,-115511.526,305112.526
2013-08-14,1405,1044,1118.7,403850.7,1923.91,-110913.332,514764.032
2013-08-16,1557,1299,1113.6,287308.8,1920.11,-106729.276,394038.076
2013-08-19,1006,887,1115.6,132756.4,1917.64,-80503.338,213259.738
2013-08-20,1516,1182,1120.8,374347.2,1887.85,-63862.718,438209.918
2013-08-21,1321,1476,1117.4,-173197,1867.46,-53128.978,-120068.022
2013-08-22,1411,1586,1123,-196525,1849.12,-46380.966,-150144.034
2013-08-23,1362,1279,1116.9,92702.7,1870.16,-20727.2,113429.9
2013-08-26,1064,873,1112.7,212525.7,1887.86,-6067.826,218593.526
2013-08-27,1115,998,1116.3,130607.1,1885.84,-1653.764,132260.864
2013-08-28,1193,1055,1115.4,153925.2,1884.52,5632.432,148292.768
2013-08-29,1766,1301,1109.7,516010.5,1907.54,19729.514,496280.986
2013-08-30,2191,1653,1110,597180,1926.36,43680.05,553499.95
2013-09-02,1226,1107,1100.5,130959.5,1924.81,66321.738,64637.762
2013-09-03,1428,1128,1097.9,329370,1933.74,79273.61,250096.39
2013-09-04,1449,1170,1094.5,305365.5,1933.03,88815.112,216550.388
2013-09-05,1808,1242,1098.4,621694.4,1951.65,107136.95,514557.45
2013-09-06,1679,1138,1093,591313,1955.31,116985.726,474327.274
2013-09-09,1853,1235,1086.8,671642.4,1974.67,119272.654,552369.746
2013-09-10,2300,1456,1084.1,914980.4,1994.06,137957.278,777023.122
2013-09-11,2017,1285,1086.5,795318,2003.85,152797.678,642520.322
2013-09-12,3663,2004,1085,1800015,2004.06,193098.29,1606916.71
2013-09-13,1596,1144,1087,491324,1994.32,204861.75,286462.25
2013-09-16,1575,978,1082.2,646073.4,2013.37,221826.96,424246.44
2013-09-17,1801,1385,1084.1,450985.6,2005.58,236008.976,214976.624
2013-09-23,2446,2081,1073.8,391937,2009.41,245948.444,145988.556
2013-09-24,1646,1541,1072.2,112581,2007.1,248858.828,-136277.828
2013-09-25,1742,1495,1076.7,265944.9,1998.06,248185.712,17759.188
2013-09-26,1461,1253,1075.1,223620.8,2007.32,249217.158,-25596.358
2013-09-27,1532,1305,1073.7,243729.9,2011.8,251600.916,-7871.016
2013-09-30,1748,1630,1074.7,126814.6,1996.96,253242.808,-126428.208
2013-10-01,1410,1189,1073.5,237243.5,1998.87,255363.134,-18119.634
2013-10-02,1467,1219,1074,266352,1999.47,262402.15,3949.85
2013-10-04,2045,1545,1070.3,535150,1996.98,275034.474,260115.526
2013-10-07,1379,1091,1071.5,308592,1994.42,280982.534,27609.466
2013-10-08,1826,1339,1073.7,522891.9,2002.76,284470.292,238421.608
2013-10-10,2145,1885,1073.6,279136,2001.4,285802.498,-6666.498
2013-10-11,1933,1637,1071.4,317134.4,2024.9,288618.31,28516.09
2013-10-14,1071,861,1071.5,225015,2020.27,288429.768,-63414.768
2013-10-15,1445,1087,1066.8,381914.4,2040.96,294535.566,87378.834
2013-10-16,1513,1275,1065.5,253589,2034.61,298114.854,-44525.854
2013-10-17,1567,1211,1063.7,378677.2,2040.61,305441.228,73235.972
2013-10-18,1763,1246,1060.8,548433.6,2052.4,314904.41,233529.19
2013-10-21,1401,1189,1062.2,225186.4,2053.01,317093.522,-91907.122
2013-10-22,1800,1561,1060.8,253531.2,2056.12,320181.582,-66650.382
2013-10-23,1943,1307,1055.8,671488.8,2035.75,335775.428,335713.372
2013-10-24,1324,1181,1061,151723,2046.69,341517.142,-189794.142
2013-10-25,1345,1311,1061.8,36101.2,2034.39,345867.546,-309766.346
2013-10-28,1254,1167,1061.1,92315.7,2048.14,349181.964,-256866.264
2013-10-29,1427,1339,1060.6,93332.8,2051.76,352251.416,-258918.616
2013-10-30,1412,1252,1060.2,169632,2059.58,351852.036,-182220.036
2013-10-31,1647,1655,1060.7,-8485.6,2030.09,343605.31,-352090.91
2013-11-01,1246,1052,1060.7,205775.8,2039.42,341974.65,-136198.85
2013-11-04,1170,1301,1062.9,-139239.9,2025.17,336534.724,-475774.624
2013-11-05,1159,1152,1061.2,7428.4,2013.93,329196.348,-321767.948
2013-11-06,1381,1384,1060.9,-3182.7,2013.67,332596.634,-335779.334
2013-11-07,1287,1337,1061.4,-53070,2004.04,335465.734,-388535.734
