Date,Spread
2013-08-06,2.3
2013-08-07,2.33
2013-08-08,2.31
2013-08-09,2.3
2013-08-12,2.28
2013-08-13,2.24
2013-08-14,2.3
2013-08-16,2.23
2013-08-19,2.23
2013-08-20,2.21
2013-08-21,2.21
2013-08-22,2.17
2013-08-23,2.16
2013-08-26,2.15
2013-08-27,2.17
2013-08-28,2.14
2013-08-29,2.12
2013-08-30,2.09
2013-09-03,2.1
2013-09-04,2.04
2013-09-05,2.02
2013-09-06,2.08
2013-09-09,2.08
2013-09-10,2.05
2013-09-11,2.06
2013-09-12,2.04
2013-09-13,2.06
2013-09-16,2.07
2013-09-17,2.07
2013-09-23,2.12
2013-09-24,2.15
2013-09-25,2.18
2013-09-26,2.18
2013-09-27,2.19
2013-09-30,2.19
2013-10-01,2.18
2013-10-02,2.2
2013-10-04,2.17
2013-10-07,2.18
2013-10-08,2.15
2013-10-10,2.19
2013-10-11,2.2
2013-10-15,2.2
2013-10-16,2.23
2013-10-17,2.24
2013-10-18,2.2
2013-10-21,2.21
2013-10-22,2.24
2013-10-23,2.19
2013-10-24,2.21
2013-10-25,2.21
2013-10-28,2.238
2013-10-29,2.214
2013-10-30,2.214
2013-10-31,2.249
2013-11-01,2.234
2013-11-04,2.265
2013-11-05,2.288
2013-11-06,2.304
2013-11-07,2.35
2013-11-08,2.266
2013-11-12,2.31
2013-11-13,2.329
2013-11-14,2.378
2013-11-15,2.36
2013-11-18,2.375
2013-11-19,2.374
2013-11-20,2.387
2013-11-21,2.425
2013-11-22,2.375
2013-11-25,2.397
2013-11-26,2.41
2013-11-27,2.42
2013-11-29,2.45
2013-12-02,2.449
2013-12-03,2.46
2013-12-04,2.425
2013-12-05,2.409
2013-12-06,2.368
2013-12-09,2.343
2013-12-10,2.371
2013-12-11,2.375
2013-12-12,2.336
2013-12-13,2.28
2013-12-16,2.24
2013-12-17,2.233
2013-12-18,2.261
2013-12-19,2.193
2013-12-20,2.138
2013-12-23,2.111
2013-12-24,2.087
2013-12-26,2.073
2013-12-27,2.044
2013-12-30,2.088
2013-12-31,2.078
2014-01-02,2.153
2014-01-03,2.124
2014-01-06,2.083
2014-01-07,2.064
2014-01-08,1.988
2014-01-09,2.035
2014-01-10,2.141
2014-01-13,2.15
2014-01-14,2.124
2014-01-15,2.096
2014-01-16,2.089
2014-01-17,2.105
2014-01-21,2.098
2014-01-22,2.069
2014-01-23,2.132
2014-01-24,2.111
2014-01-27,2.121
2014-01-28,2.121
2014-01-29,2.17
2014-02-03,2.242
2014-02-04,2.2
2014-02-05,2.195
2014-02-06,2.16
2014-02-07,2.195
2014-02-10,2.185
2014-02-11,2.13
2014-02-12,2.102
2014-02-13,2.137
2014-02-14,2.132
2014-02-18,2.192
2014-02-19,2.165
2014-02-20,2.136
2014-02-21,2.168
2014-02-24,2.15
2014-02-25,2.16
2014-02-26,2.177
2014-02-27,2.168
2014-02-28,2.16
2014-03-03,2.232
2014-03-04,2.201
2014-03-05,2.185
2014-03-06,2.165
2014-03-07,2.105
2014-03-10,2.093
2014-03-11,2.09
2014-03-12,2.085
2014-03-13,2.126
2014-03-14,2.086
2014-03-17,2.077
2014-03-18,2.09
2014-03-19,1.92
2014-03-20,1.965
2014-03-21,1.975
2014-03-24,1.959
2014-03-25,1.959
2014-03-26,1.995
2014-03-27,1.978
2014-03-28,1.938
2014-03-31,1.97
2014-04-01,1.963
2014-04-02,1.941
2014-04-03,1.932
2014-04-04,1.996
2014-04-07,2
2014-04-08,1.995
2014-04-09,2.006
2014-04-10,2.05
2014-04-11,2.056
2014-04-14,2.054
2014-04-15,2.039
2014-04-16,2.02
2014-04-17,1.96
2014-04-21,1.975
2014-04-22,1.948
2014-04-23,1.971
2014-04-24,1.97
2014-04-25,1.974
2014-04-28,1.978
2014-04-29,1.965
2014-04-30,2.003
2014-05-02,1.97
2014-05-07,1.962
2014-05-08,1.99
2014-05-09,1.976
2014-05-12,1.979
2014-05-13,2.02
2014-05-14,2.042
2014-05-15,2.029
2014-05-16,2.036
2014-05-19,2.047
2014-05-20,2.077
2014-05-21,2.052
2014-05-22,2.05
2014-05-23,2.041
2014-05-27,2.04
2014-05-28,2.059
2014-05-29,2.035
2014-05-30,2.026
2014-06-02,1.995
2014-06-03,1.987
2014-06-05,2.019
2014-06-09,1.96
2014-06-10,1.889
2014-06-11,1.913
2014-06-12,1.909
2014-06-13,1.81
2014-06-16,1.771
2014-06-17,1.738
2014-06-18,1.775
2014-06-19,1.741
2014-06-20,1.722
2014-06-23,1.73
2014-06-24,1.733
2014-06-25,1.767
2014-06-26,1.805
2014-06-27,1.814
2014-06-30,1.801
2014-07-01,1.764
2014-07-02,1.63
2014-07-03,1.615
2014-07-07,1.612
2014-07-08,1.657
2014-07-09,1.641
2014-07-10,1.66
2014-07-11,1.666
2014-07-14,1.645
2014-07-15,1.62
2014-07-16,1.6
2014-07-17,1.574
2014-07-18,1.549
2014-07-21,1.531
2014-07-22,1.543
2014-07-23,1.504
2014-07-24,1.497
2014-07-25,1.514
2014-07-28,1.495
2014-07-29,1.518
2014-07-30,1.472
2014-07-31,1.495
2014-08-01,1.6
2014-08-04,1.615
2014-08-05,1.588
2014-08-06,1.605
2014-08-07,1.636
2014-08-08,1.59
2014-08-11,1.58
2014-08-12,1.599
2014-08-13,1.635
2014-08-14,1.668
2014-08-18,1.672
2014-08-19,1.673
2014-08-20,1.635
2014-08-21,1.632
2014-08-22,1.604
2014-08-25,1.579
2014-08-26,1.56
2014-08-27,1.556
2014-08-28,1.576
2014-08-29,1.571
2014-09-02,1.522
2014-09-03,1.544
2014-09-04,1.53
2014-09-05,1.518
2014-09-11,1.426
2014-09-12,1.336
2014-09-15,1.343
2014-09-16,1.33
2014-09-17,1.289
2014-09-18,1.265
2014-09-19,1.28
2014-09-22,1.294
2014-09-23,1.3
2014-09-24,1.255
2014-09-25,1.297
2014-09-26,1.237
2014-09-29,1.263
2014-09-30,1.227
2014-10-01,1.219
2014-10-02,1.237
2014-10-06,1.238
2014-10-07,1.305
2014-10-08,1.388
2014-10-10,1.37
2014-10-14,1.478
2014-10-15,1.554
2014-10-16,1.502
2014-10-17,1.455
2014-10-20,1.499
2014-10-21,1.474
2014-10-22,1.435
2014-10-23,1.387
2014-10-24,1.389
2014-10-27,1.409
2014-10-28,1.377
2014-10-29,1.277
2014-10-30,1.286
2014-10-31,1.188
2014-11-03,1.16
2014-11-04,1.126
2014-11-05,1.123
2014-11-06,1.071
2014-11-07,1.14
2014-11-10,1.118
2014-11-12,1.204
2014-11-13,1.24
2014-11-14,1.24
2014-11-17,1.229
2014-11-18,1.22
2014-11-19,1.19
2014-11-20,1.186
2014-11-21,1.201
2014-11-24,1.171
2014-11-25,1.165
2014-11-26,1.168
2014-11-28,1.194
2014-12-01,1.173
2014-12-02,1.119
2014-12-03,1.142
2014-12-04,1.193
2014-12-05,1.076
2014-12-08,1.117
2014-12-09,1.109
2014-12-10,1.17
2014-12-11,1.076
2014-12-12,1.132
2014-12-15,1.094
2014-12-16,1.139
2014-12-17,1.109
2014-12-18,1.083
2014-12-19,1.08
2014-12-22,1.026
2014-12-23,0.986
2014-12-24,0.967
2014-12-26,0.968
2014-12-29,0.994
2014-12-30,0.989
2014-12-31,0.998
2015-01-02,1.065
2015-01-05,1.058
2015-01-06,1.059
2015-01-07,1.076
2015-01-08,1.072
2015-01-09,1.096
2015-01-12,1.096
2015-01-13,1.144
2015-01-14,1.144
2015-01-15,1.294
2015-01-16,1.212
2015-01-20,1.181
2015-01-21,1.175
2015-01-22,1.163
2015-01-23,1.167
2015-01-26,1.134
2015-01-27,1.159
2015-01-28,1.194
2015-01-29,1.158
2015-01-30,1.2
2015-02-02,1.205
2015-02-03,1.085
2015-02-04,1.101
2015-02-05,1.105
2015-02-06,0.932
