Date,Close,Open,Return
2013-08-06,1907,"1,914.06",-0.50%
2013-08-07,1878,"1,892.47",-1.48%
2013-08-08,1884,"1,884.58",0.30%
2013-08-09,1881,"1,884.57",-0.17%
2013-08-12,1885,"1,878.50",0.22%
2013-08-13,1913,"1,893.42",1.50%
2013-08-14,1924,"1,912.59",0.57%
2013-08-16,1920,"1,903.72",-0.20%
2013-08-19,1918,"1,917.32",-0.13%
2013-08-20,1888,"1,910.30",-1.55%
2013-08-21,1867,"1,891.01",-1.08%
2013-08-22,1849,"1,847.94",-0.98%
2013-08-23,1870,"1,861.58",1.14%
2013-08-26,1888,"1,876.59",0.95%
2013-08-27,1886,"1,883.71",-0.11%
2013-08-28,1885,"1,862.51",-0.07%
2013-08-29,1908,"1,892.03",1.22%
2013-08-30,1926,"1,918.91",0.99%
2013-09-02,1925,"1,925.32",-0.08%
2013-09-03,1934,"1,934.24",0.46%
2013-09-04,1933,"1,929.60",-0.04%
2013-09-05,1952,"1,943.66",0.96%
2013-09-06,1955,"1,954.11",0.19%
2013-09-09,1975,"1,964.09",0.99%
2013-09-10,1994,"1,978.08",0.98%
2013-09-11,2004,"1,995.96",0.49%
2013-09-12,2004,"2,004.67",0.01%
2013-09-13,1994,"1,994.95",-0.49%
2013-09-16,2013,"2,011.69",0.96%
2013-09-17,2006,"2,009.31",-0.39%
2013-09-23,2009,"2,000.72",0.19%
2013-09-24,2007,"2,001.51",-0.11%
2013-09-25,1998,"2,004.53",-0.45%
2013-09-26,2007,"1,992.10",0.46%
2013-09-27,2012,"2,012.26",0.22%
2013-09-30,1997,"2,002.02",-0.74%
2013-10-01,1999,"1,997.62",0.10%
2013-10-02,1999,"2,012.07",0.03%
2013-10-04,1997,"1,999.92",-0.12%
2013-10-07,1994,"1,997.17",-0.13%
2013-10-08,2003,"1,987.97",0.42%
2013-10-10,2001,"2,000.91",-0.07%
2013-10-11,2025,"2,018.01",1.17%
2013-10-14,2020,"2,026.07",-0.23%
2013-10-15,2041,"2,034.69",1.02%
2013-10-16,2035,"2,040.03",-0.31%
2013-10-17,2041,"2,051.19",0.29%
2013-10-18,2052,"2,046.56",0.58%
2013-10-21,2053,"2,054.16",0.03%
2013-10-22,2056,"2,051.01",0.15%
