Date,KOSPI_20D_Return,TBond_20D_Return,Return_Difference
2013-08-06,0.040829563,-0.022222222,0.063051786
2013-08-07,0.025486766,0.016997167,0.008489598
2013-08-08,0.023796565,0.06231454,-0.038517975
2013-08-09,0.033438993,0.059171598,-0.025732605
2013-08-12,0.048978988,0.026086957,0.022892031
2013-08-13,0.044368564,0.037790698,0.006577866
2013-08-14,0.049129716,0.054755043,-0.005625327
2013-08-16,0.054693563,0.076246334,-0.021552771
2013-08-19,0.041669626,0.093567251,-0.051897625
2013-08-20,0.02969586,0.06744868,-0.03775282
2013-08-21,0.003392629,0.073313783,-0.069921154
2013-08-22,0.005738029,0.087463557,-0.081725528
2013-08-23,0.005156893,0.056818182,-0.051661289
2013-08-26,0.025005894,0.045584046,-0.020578152
2013-08-27,0.019295466,0.057803468,-0.038508002
2013-08-28,0.023796575,0.040345821,-0.016549247
2013-08-29,0.024703299,0.025787966,-0.001084667
2013-08-30,0.003988619,0.011461318,-0.007472699
2013-09-02,-0.01926844,0.002793296,-0.022061736
2013-09-03,-0.032927493,0.025641026,-0.058568518
2013-09-04,-0.020658669,0.03125,-0.051908669
2013-09-05,-0.012010613,0.030640669,-0.042651282
2013-09-06,-0.007395165,0.030726257,-0.038121422
2013-09-09,-0.01696878,0.002793296,-0.019762076
2013-09-10,-0.003390751,0.02259887,-0.025989622
2013-09-11,0.002925956,-0.005602241,0.008528197
2013-09-12,0.000743483,-0.035519126,0.036262609
2013-09-13,0.009143,-0.027247956,0.036390957
2013-09-16,0.013851738,-0.064171123,0.078022861
2013-09-17,0.039034674,-0.046703297,0.085737971
2013-09-23,0.037866845,-0.071038251,0.108905096
2013-09-24,0.049959856,-0.091152815,0.141112671
2013-09-25,0.057952176,-0.086021505,0.143973681
2013-09-26,0.047474425,-0.057220708,0.104695134
2013-09-27,0.041659953,-0.06010929,0.101769243
2013-09-30,0.038648827,-0.052631579,0.091280406
2013-10-01,0.049920736,-0.036312849,0.086233585
2013-10-02,0.062361946,-0.033994334,0.09635628
2013-10-04,0.076012338,-0.052924791,0.128937129
2013-10-07,0.085435234,-0.05,0.135435234
2013-10-08,0.06838987,-0.046831956,0.115221826
2013-10-10,0.063277997,-0.051351351,0.114629349
2013-10-11,0.066792517,-0.051490515,0.118283032
2013-10-14,0.059665061,-0.013927577,0.073592637
2013-10-15,0.047878419,-0.024861878,0.072740298
2013-10-16,0.037952408,-0.011267606,0.049220013
2013-10-17,0.03749461,-0.011331445,0.048826055
2013-10-18,0.031379606,-0.036414566,0.067794172
2013-10-21,0.036072901,-0.014285714,0.050358615
2013-10-22,0.025491251,-0.008645533,0.034136784
2013-10-23,0.035590264,-0.014705882,0.050296147
2013-10-24,0.023092466,-0.005899705,0.028992171
2013-10-25,0.023519854,-0.011764706,0.03528456
2013-10-28,0.01535045,-0.011560694,0.026911144
2013-10-29,0.018237977,-0.015988372,0.034226349
2013-10-30,0.029122708,-0.018421053,0.047543761
2013-10-31,0.019688383,-0.015072464,0.034760847
2013-11-01,0.025199693,0.011730205,0.013469488
2013-11-04,0.013108325,0.022352941,-0.009244616
2013-11-05,0.019724976,0.027192982,-0.007468006
2013-11-06,0.018182637,0.010693642,0.007488996
2013-11-07,0.020335572,0.000569801,0.019765771
2013-11-08,0.019862809,-0.002285714,0.022148524
2013-11-11,0.031357664,0.011299435,0.020058229
2013-11-12,0.015618825,0.017847025,-0.002228201
2013-11-13,0.019980295,0.014245014,0.005735281
2013-11-14,0.014116316,0.024068768,-0.009952452
2013-11-15,0.009782293,0.044476744,-0.034694452
2013-11-18,0.005447482,0.04,-0.034552518
2013-11-19,0.001319077,0.056976744,-0.055657668
2013-11-20,-0.019768877,0.085671642,-0.105440519
2013-11-21,-0.021269434,0.091394659,-0.112664093
2013-11-22,-0.022283631,0.082738095,-0.105021726
2013-11-25,-0.034920697,0.068128655,-0.103049352
2013-11-26,-0.035798119,0.073559823,-0.109357942
2013-11-27,-0.022783083,0.082812035,-0.105595118
2013-11-28,-0.020555185,0.075044144,-0.095599328
2013-11-29,-0.01190592,0.064347826,-0.076253746
2013-12-02,-0.009092472,0.07278481,-0.081877282
2013-12-03,-0.025851497,0.060631939,-0.086483435
2013-12-04,-0.013841987,0.065484701,-0.079326688
2013-12-05,-0.015702052,0.069191344,-0.084893396
2013-12-06,-0.014192693,0.067583047,-0.08177574
2013-12-09,-0.014939939,0.02877095,-0.043710889
2013-12-10,0.007723795,0.026996938,-0.019273143
2013-12-11,0.002672328,0.043820225,-0.041147896
2013-12-12,0.002770138,0.038891998,-0.03612186
2013-12-13,-0.002269195,0.024492068,-0.026761263
2013-12-16,-0.013343795,0.011984392,-0.025328188
2013-12-17,-0.009615577,-0.008525853,-0.001089724
2013-12-18,-0.002246999,-0.003849326,0.001602328
2013-12-19,0.011672483,-0.01223491,0.023907393
2013-12-20,-0.001017299,-0.003298516,0.002281217
2013-12-23,0.007338711,-0.019983575,0.027322286
2013-12-24,0.00018805,-0.018161805,0.018349855
2013-12-26,-0.02130492,-0.016781293,-0.004523627
2013-12-27,-0.024696515,-0.028196003,0.003499488
2013-12-30,-0.032436849,-0.024237473,-0.008199376
2013-12-31,-0.02112292,-0.039152588,0.018029667
2014-01-02,-0.00909328,-0.012882448,0.003789168
2014-01-03,-0.011404475,-0.006977992,-0.004426483
2014-01-06,-0.00946934,-0.02849534,0.019026
2014-01-07,-0.010407191,-0.020922747,0.010515556
2014-01-08,-0.014545472,-0.010317676,-0.004227797
2014-01-09,-0.021258499,-0.004336043,-0.016922456
2014-01-10,-0.01639713,-0.017761033,0.001363903
2014-01-13,-0.009572677,-0.024508484,0.014935807
2014-01-14,-0.020986782,-0.010051616,-0.010935165
2014-01-15,-0.020465069,0.009639218,-0.030104287
2014-01-16,-0.015865818,0.011927878,-0.027793696
2014-01-17,-0.010588716,0.007452388,-0.018041104
