Date,Close,125MA,Spread
2013-08-06,1906.62,1937.70696,-31.08696
2013-08-07,1878.33,1937.24408,-58.91408
2013-08-08,1883.97,1936.86168,-52.89168
2013-08-09,1880.71,1936.30016,-55.59016
2013-08-12,1884.83,1935.81248,-50.98248
2013-08-13,1913.03,1935.30816,-22.27816
2013-08-14,1923.91,1934.86256,-10.95256
2013-08-16,1920.11,1934.374,-14.264
2013-08-19,1917.64,1933.85984,-16.21984
2013-08-20,1887.85,1933.076,-45.226
2013-08-21,1867.46,1931.81856,-64.35856
2013-08-22,1849.12,1930.48976,-81.36976
2013-08-23,1870.16,1929.29992,-59.13992
2013-08-26,1887.86,1928.32664,-40.46664
2013-08-27,1885.84,1927.41328,-41.57328
2013-08-28,1884.52,1926.45712,-41.93712
2013-08-29,1907.54,1925.50552,-17.96552
2013-08-30,1926.36,1924.8112,1.5488
2013-09-02,1924.81,1924.0768,0.7332
2013-09-03,1933.74,1923.3808,10.3592
2013-09-04,1933.03,1922.80984,10.22016
2013-09-05,1951.65,1922.37496,29.27504
2013-09-06,1955.31,1921.99064,33.31936
2013-09-09,1974.67,1921.84128,52.82872
2013-09-10,1994.06,1921.79592,72.26408
2013-09-11,2003.85,1921.80968,82.04032
2013-09-12,2004.06,1921.95016,82.10984
2013-09-13,1994.32,1922.15928,72.16072
2013-09-16,2013.37,1922.43776,90.93224
2013-09-17,2005.58,1922.80712,82.77288
2013-09-23,2009.41,1923.27584,86.13416
2013-09-24,2007.1,1923.74296,83.35704
2013-09-25,1998.06,1923.90608,74.15392
2013-09-26,2007.32,1924.09504,83.22496
2013-09-27,2011.8,1924.24192,87.55808
2013-09-30,1996.96,1924.26944,72.69056
2013-10-01,1998.87,1924.22128,74.64872
2013-10-02,1999.47,1924.24912,75.22088
2013-10-04,1996.98,1924.33576,72.64424
2013-10-07,1994.42,1924.42536,69.99464
2013-10-08,2002.76,1924.77184,77.98816
2013-10-10,2001.4,1925.3652,76.0348
2013-10-11,2024.9,1926.21488,98.68512
2013-10-14,2020.27,1927.01112,93.25888
2013-10-15,2040.96,1927.85416,113.10584
2013-10-16,2034.61,1928.53264,106.07736
2013-10-17,2040.61,1929.46368,111.14632
