Date,MO,MSI,Volume,Close
2010-01-04,-13.29,871.2,"296,547,959","1,705.32"
2010-01-05,-18.43,852.77,"408,854,057","1,683.45"
2010-01-06,-15.82,836.94,"426,040,121","1,695.26"
2010-01-07,-24.43,812.52,"462,402,742","1,694.12"
2010-01-08,-18.76,793.75,"379,952,313","1,698.64"
2010-01-11,-20.38,773.38,"407,679,788","1,671.41"
2010-01-12,-35.72,737.66,"383,755,339","1,685.77"
2010-01-13,-64.05,673.6,"361,932,578","1,701.80"
2010-01-14,-54.8,618.8,"433,752,962","1,711.78"
2010-01-15,-38.63,580.18,"415,903,873","1,710.22"
2010-01-18,-40.4,539.78,"420,751,546","1,714.38"
2010-01-19,-41.5,498.28,"384,378,749","1,722.01"
2010-01-20,-48.57,449.71,"695,737,348","1,684.35"
2010-01-21,-40.54,409.17,"543,454,354","1,670.20"
2010-01-22,-60.34,348.83,"615,072,835","1,637.34"
2010-01-25,-78.75,270.08,"585,001,076","1,625.48"
2010-01-26,-93.49,176.59,"576,948,651","1,642.43"
2010-01-27,-84.15,92.44,"446,537,804","1,602.43"
2010-01-28,-64.87,27.57,"479,611,798","1,606.44"
2010-01-29,-85.38,-57.81,"473,945,246","1,595.81"
2010-02-01,-65.37,-123.18,"382,241,240","1,615.02"
2010-02-02,-55.73,-178.91,"434,956,281","1,616.42"
2010-02-03,-22.11,-201.02,"438,151,639","1,567.12"
2010-02-04,-18.56,-219.58,"396,780,458","1,552.79"
2010-02-05,-49.76,-269.34,"460,773,752","1,570.49"
2010-02-08,-54.03,-323.37,"445,719,661","1,570.12"
2010-02-09,-25.54,-348.9,"433,885,424","1,597.81"
2010-02-10,-15.8,-364.71,"436,122,641","1,593.66"
2010-02-11,13.98,-350.72,"393,755,848","1,601.05"
2010-02-12,24.29,-326.43,"292,260,871","1,627.43"
2010-02-16,37.06,-289.38,"275,272,185","1,621.19"
2010-02-17,59.74,-229.64,"383,622,645","1,593.90"
2010-02-18,48.02,-181.61,"313,983,157","1,627.10"
2010-02-19,24.59,-157.03,"345,772,736","1,628.90"
2010-02-22,61.42,-95.6,"307,159,935","1,612.83"
2010-02-23,68.85,-26.76,"352,019,297","1,587.51"
2010-02-24,60.42,33.66,"390,678,983","1,594.58"
2010-02-25,28.69,62.35,"403,209,536","1,615.12"
2010-02-26,52.08,114.43,"331,755,395","1,622.44"
2010-03-02,58.49,172.92,"415,100,944","1,618.20"
2010-03-03,52.41,225.33,"403,469,343","1,634.57"
2010-03-04,31.16,256.49,"383,043,598","1,660.04"
2010-03-05,51.12,307.61,"344,079,203","1,660.83"
2010-03-08,75.56,383.17,"367,810,525","1,662.24"
2010-03-09,69.11,452.28,"634,705,767","1,656.62"
2010-03-10,59.84,512.11,"500,080,850","1,662.74"
2010-03-11,46.77,558.89,"529,002,149","1,649.50"
2010-03-12,47.38,606.27,"369,512,420","1,648.01"
2010-03-15,30.7,636.97,"343,806,094","1,682.86"
2010-03-16,28.85,665.82,"512,563,689","1,675.17"
2010-03-17,37.14,702.96,"606,000,979","1,686.11"
2010-03-18,36.26,739.22,"434,503,286","1,672.67"
2010-03-19,50.46,789.68,"441,810,292","1,681.82"
2010-03-22,18.11,807.78,"347,596,344","1,681.01"
2010-03-23,14.3,822.09,"414,286,546","1,688.39"
2010-03-24,-1.46,820.62,"371,518,390","1,697.72"
2010-03-25,-1.53,819.09,"389,685,603","1,691.99"
2010-03-26,7.97,827.06,"397,619,664","1,700.19"
2010-03-29,-19.44,807.63,"339,607,123","1,692.85"
2010-03-30,-8.84,798.79,"321,044,138","1,719.17"
2010-03-31,-12.07,786.72,"328,321,170","1,723.49"
2010-04-01,-4.75,781.97,"296,992,303","1,724.99"
2010-04-02,-20.41,761.56,"355,087,518","1,726.09"
2010-04-05,-39.38,722.18,"426,893,895","1,726.60"
2010-04-06,-31.27,690.91,"420,897,418","1,733.78"
2010-04-07,-14.15,676.76,"399,748,434","1,724.47"
2010-04-08,-11.76,664.99,"362,550,353","1,710.30"
2010-04-09,-15.28,649.71,"452,531,003","1,710.59"
2010-04-12,-22.65,627.06,"416,640,430","1,735.33"
2010-04-13,-29.84,597.22,"369,616,413","1,743.91"
2010-04-14,-9.64,587.57,"431,590,703","1,734.49"
2010-04-15,-8.48,579.1,"464,868,414","1,705.30"
2010-04-16,-16.99,562.1,"381,109,407","1,718.03"
2010-04-19,-31.4,530.7,"367,559,562","1,747.58"
2010-04-20,-1.96,528.74,"522,272,589","1,739.52"
2010-04-21,14.52,543.26,"535,040,300","1,737.03"
2010-04-22,-3.26,539.99,"528,081,391","1,752.20"
2010-04-23,-5.36,534.63,"463,206,972","1,749.55"
2010-04-26,-0.62,534.02,"420,565,721","1,733.91"
2010-04-27,-1.75,532.27,"432,377,982","1,728.42"
2010-04-28,-29.36,502.91,"399,809,681","1,741.56"
2010-04-29,-26.39,476.52,"446,709,996","1,721.21"
2010-04-30,-6.69,469.83,"412,070,465","1,718.75"
2010-05-03,-19.7,450.13,"414,096,471","1,684.71"
2010-05-04,-24.69,425.43,"380,986,230","1,647.50"
2010-05-06,-48.53,376.9,"448,574,028","1,677.63"
2010-05-07,-69.08,307.82,"456,385,372","1,670.24"
2010-05-10,-29.79,278.03,"383,503,712","1,663.03"
2010-05-11,-20.13,257.89,"457,058,953","1,694.58"
2010-05-12,-26.71,231.18,"453,193,198","1,695.63"
2010-05-13,-0.15,231.03,"400,382,757","1,651.51"
2010-05-14,1.3,232.34,"432,900,330","1,643.24"
2010-05-17,-23.7,208.64,"402,483,477","1,630.08"
