Date,NewHigh,NewLow,NumOfStocks,Intensity
2013-08-06,29,4,748,0.03342246
2013-08-07,14,7,748,0.009358289
2013-08-08,17,6,748,0.014705882
2013-08-09,16,7,748,0.012032086
2013-08-12,15,8,748,0.009358289
2013-08-13,21,9,748,0.016042781
2013-08-14,21,8,748,0.017379679
2013-08-16,19,9,748,0.013368984
2013-08-19,23,9,748,0.018716578
2013-08-20,10,18,748,-0.010695187
2013-08-21,5,27,748,-0.029411765
2013-08-22,5,49,748,-0.058823529
2013-08-23,10,13,748,-0.004010695
2013-08-26,18,11,748,0.009358289
2013-08-27,6,24,748,-0.024064171
2013-08-28,5,42,748,-0.049465241
2013-08-29,15,15,748,0
2013-08-30,12,14,748,-0.002673797
2013-09-02,10,12,748,-0.002673797
2013-09-03,18,5,748,0.017379679
2013-09-04,13,7,748,0.00802139
2013-09-05,26,6,748,0.026737968
2013-09-06,28,6,748,0.029411765
2013-09-09,23,8,748,0.020053476
2013-09-10,37,8,748,0.038770053
2013-09-11,29,6,748,0.030748663
2013-09-12,21,5,748,0.021390374
2013-09-13,8,5,748,0.004010695
2013-09-16,14,7,748,0.009358289
2013-09-17,13,5,748,0.010695187
2013-09-23,29,12,748,0.022727273
2013-09-24,21,10,748,0.014705882
2013-09-25,31,8,748,0.030748663
2013-09-26,41,7,748,0.045454545
2013-09-27,36,3,748,0.044117647
2013-09-30,28,12,748,0.021390374
2013-10-01,21,20,748,0.001336898
2013-10-02,14,14,748,0
2013-10-04,16,17,748,-0.001336898
2013-10-07,14,20,748,-0.00802139
2013-10-08,18,28,748,-0.013368984
2013-10-10,20,20,748,0
2013-10-11,30,13,748,0.022727273
2013-10-14,26,17,748,0.012032086
2013-10-15,18,21,748,-0.004010695
2013-10-16,24,22,748,0.002673797
2013-10-17,32,35,748,-0.004010695
2013-10-18,25,23,748,0.002673797
2013-10-21,21,19,748,0.002673797
2013-10-22,28,10,748,0.024064171
2013-10-23,15,12,748,0.004010695
2013-10-24,24,8,748,0.021390374
2013-10-25,20,11,748,0.012032086
2013-10-28,19,14,748,0.006684492
2013-10-29,19,11,748,0.010695187
2013-10-30,29,12,748,0.022727273
2013-10-31,19,12,748,0.009358289
2013-11-01,22,16,748,0.00802139
2013-11-04,17,17,748,0
2013-11-05,14,24,748,-0.013368984
2013-11-06,22,24,748,-0.002673797
2013-11-07,17,33,748,-0.021390374
2013-11-08,12,46,748,-0.045454545
2013-11-11,12,66,748,-0.072192513
2013-11-12,15,29,748,-0.018716578
2013-11-13,7,46,748,-0.052139037
2013-11-14,10,47,748,-0.049465241
2013-11-15,17,25,748,-0.010695187
2013-11-18,20,38,748,-0.024064171
2013-11-19,29,26,748,0.004010695
2013-11-20,21,33,748,-0.016042781
2013-11-21,10,44,748,-0.045454545
2013-11-22,24,27,748,-0.004010695
2013-11-25,24,15,748,0.012032086
2013-11-26,23,17,748,0.00802139
2013-11-27,21,11,748,0.013368984
2013-11-28,36,7,748,0.038770053
2013-11-29,26,5,748,0.028074866
2013-12-02,21,12,748,0.012032086
2013-12-03,17,22,748,-0.006684492
2013-12-04,12,32,748,-0.026737968
2013-12-05,19,26,748,-0.009358289
2013-12-06,19,22,748,-0.004010695
2013-12-09,20,34,748,-0.018716578
2013-12-10,14,38,748,-0.032085561
2013-12-11,13,39,748,-0.034759358
