Date,Vkospi,MA,Spread
2013-08-06,14.98,14.98,0
2013-08-07,15.35,15.165,0.185
2013-08-08,14.96,15.09666667,-0.13666667
2013-08-09,14.38,14.9175,-0.5375
2013-08-12,14.72,14.878,-0.158
2013-08-13,14.26,14.775,-0.515
2013-08-14,13.78,14.63285714,-0.85285714
2013-08-16,14.23,14.5825,-0.3525
2013-08-19,14.51,14.57444444,-0.06444444
2013-08-20,15.58,14.675,0.905
2013-08-21,16.11,14.80545455,1.30454545
2013-08-22,16.32,14.93166667,1.38833333
2013-08-23,15,14.93692308,0.06307692
2013-08-26,14.61,14.91357143,-0.30357143
2013-08-27,15.3,14.93933333,0.36066667
2013-08-28,15.7,14.986875,0.713125
2013-08-29,15.66,15.02647059,0.63352941
2013-08-30,15.73,15.06555556,0.66444444
2013-09-02,16.12,15.12105263,0.99894737
2013-09-03,16.02,15.166,0.854
2013-09-04,16.26,15.21809524,1.04190476
2013-09-05,16.16,15.26090909,0.89909091
2013-09-06,15.97,15.29173913,0.67826087
2013-09-09,16.41,15.33833333,1.07166667
2013-09-10,15.9,15.3608,0.5392
2013-09-11,15.65,15.37192308,0.27807692
2013-09-12,15.71,15.38444444,0.32555556
2013-09-13,15.76,15.39785714,0.36214286
2013-09-16,15.93,15.4162069,0.5137931
2013-09-17,16.37,15.448,0.922
2013-09-23,15.91,15.46290323,0.44709677
2013-09-24,15.43,15.461875,-0.031875
2013-09-25,15.01,15.44818182,-0.43818182
2013-09-26,14.62,15.42382353,-0.80382353
2013-09-27,14.45,15.396,-0.946
2013-09-30,15.38,15.39555556,-0.01555556
2013-10-01,15.53,15.39918919,0.13081081
2013-10-02,14.72,15.38131579,-0.66131579
2013-10-04,15.1,15.37410256,-0.27410256
2013-10-07,15.38,15.37425,0.00575
2013-10-08,15.39,15.37463415,0.01536585
2013-10-10,15.51,15.37785714,0.13214286
2013-10-11,13.92,15.34395349,-1.42395349
2013-10-14,14.19,15.31772727,-1.12772727
2013-10-15,13.52,15.27777778,-1.75777778
2013-10-16,14.61,15.26326087,-0.65326087
2013-10-17,14.01,15.23659574,-1.22659574
2013-10-18,13.43,15.19895833,-1.76895833
2013-10-21,13.82,15.17081633,-1.35081633
2013-10-22,13.81,15.1436,-1.3336
2013-10-23,14.22,15.1284,-0.9084
2013-10-24,13.54,15.0922,-1.5522
2013-10-25,13.56,15.0642,-1.5042
2013-10-28,13.62,15.049,-1.429
2013-10-29,13.48,15.0242,-1.5442
2013-10-30,13.55,15.01,-1.46
2013-10-31,14.41,15.0226,-0.6126
2013-11-01,13.76,15.0132,-1.2532
2013-11-04,14.03,15.0036,-0.9736
2013-11-05,13.53,14.9626,-1.4326
2013-11-06,13.61,14.9126,-1.3026
2013-11-07,13.47,14.8556,-1.3856
2013-11-08,13.63,14.8282,-1.1982
2013-11-11,13.92,14.8144,-0.8944
2013-11-12,13.56,14.7796,-1.2196
2013-11-13,14.75,14.7606,-0.0106
2013-11-14,14.22,14.7318,-0.5118
2013-11-15,13.78,14.6928,-0.9128
2013-11-18,13.99,14.6502,-0.6602
2013-11-19,13.84,14.6066,-0.7666
2013-11-20,14.13,14.564,-0.434
2013-11-21,15.15,14.5438,0.6062
2013-11-22,14.41,14.5126,-0.1026
2013-11-25,14.48,14.474,0.006
2013-11-26,14.47,14.4454,0.0246
2013-11-27,14.65,14.4254,0.2246
2013-11-28,14.69,14.405,0.285
2013-11-29,14.42,14.3782,0.0418
2013-12-02,14.62,14.352,0.268
2013-12-03,14.62,14.317,0.303
2013-12-04,14.62,14.2912,0.3288
2013-12-05,14.89,14.2804,0.6096
2013-12-06,14.93,14.2788,0.6512
2013-12-09,14.79,14.2822,0.5078
2013-12-10,14.15,14.2762,-0.1262
2013-12-11,14.31,14.2548,0.0552
2013-12-12,15.13,14.2468,0.8832
2013-12-13,14.92,14.2508,0.6692
2013-12-16,15.41,14.257,1.153
2013-12-17,14.88,14.247,0.633
2013-12-18,15.08,14.2408,0.8392
2013-12-19,14.08,14.2122,-0.1322
2013-12-20,13.3,14.1998,-0.8998
2013-12-23,13.15,14.179,-1.029
2013-12-24,12.64,14.1614,-1.5214
